dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,protocol,dna_conc,well,A2,A1,S2,S1
10_3,10,3,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,21.9,B9,TRUE,TRUE,TRUE,TRUE
10_4,10,4,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,7.3251,G4,TRUE,TRUE,TRUE,TRUE
11_1,11,1,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,22.4,G11,TRUE,TRUE,TRUE,TRUE
11_2,11,2,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,6.8657,G5,TRUE,TRUE,TRUE,TRUE
11_3,11,3,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,16.4,F10,TRUE,TRUE,TRUE,TRUE
11_4,11,4,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,6.3506,B1,TRUE,TRUE,TRUE,TRUE
12_1,12,1,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,17.6,B8,TRUE,TRUE,TRUE,TRUE
12_2,12,2,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,4.3571,A12,TRUE,TRUE,TRUE,TRUE
12_3,12,3,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,16.4,NA,NA,NA,NA,NA
12_4,12,4,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,3.8461,NA,NA,NA,NA,NA
13_1,13,1,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,P1,17.7,C9,TRUE,TRUE,TRUE,TRUE
13_2,13,2,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,P2,13.6,F4,TRUE,TRUE,TRUE,TRUE
14_1,14,1,inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,P1,0.9255,C6,TRUE,TRUE,TRUE,TRUE
14_2,14,2,inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,P2,8.401,F1,TRUE,TRUE,TRUE,TRUE
14_3,14,3,inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,P1,0.7367,D7,TRUE,TRUE,TRUE,TRUE
14_4,14,4,inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,P2,7.575,E7,TRUE,TRUE,TRUE,TRUE
