sample_id,center_id,dna_sample_id,path_r1,path_r2
S2_6_2,S2,6_2,data/s2/reads/raw/G06_S20_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/G06_S20_CIDNS200518-023_R2_001.fastq.gz
S2_6_3,S2,6_3,data/s2/reads/raw/C10_S3_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/C10_S3_CIDNXS20200524-025_R2_001.fastq.gz
S2_6_4,S2,6_4,data/s2/reads/raw/E01_S17_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/E01_S17_CIDNS200509-022_R2_001.fastq.gz
S2_7_1,S2,7_1,data/s2/reads/raw/G12_S22_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/G12_S22_CIDNXS20200524-025_R2_001.fastq.gz
S2_7_2,S2,7_2,data/s2/reads/raw/A05_S45_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/A05_S45_CIDNS200509-022_R2_001.fastq.gz
S2_7_3,S2,7_3,data/s2/reads/raw/B03_S30_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/B03_S30_CIDNS200509-022_R2_001.fastq.gz
S2_7_4,S2,7_4,data/s2/reads/raw/F03_S34_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/F03_S34_CIDNS200509-022_R2_001.fastq.gz
S2_8_1,S2,8_1,data/s2/reads/raw/B10_S2_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/B10_S2_CIDNXS20200524-025_R2_001.fastq.gz
S2_8_2,S2,8_2,data/s2/reads/raw/F06_S19_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/F06_S19_CIDNS200518-023_R2_001.fastq.gz
S2_8_3,S2,8_3,data/s2/reads/raw/H05_S52_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/H05_S52_CIDNS200509-022_R2_001.fastq.gz
S2_8_4,S2,8_4,data/s2/reads/raw/H08_S37_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/H08_S37_CIDNS200518-023_R2_001.fastq.gz
S2_9_1,S2,9_1,data/s2/reads/raw/F12_S21_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/F12_S21_CIDNXS20200524-025_R2_001.fastq.gz
S2_9_2,S2,9_2,data/s2/reads/raw/E03_S33_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/E03_S33_CIDNS200509-022_R2_001.fastq.gz
S2_9_3,S2,9_3,data/s2/reads/raw/E08_S34_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/E08_S34_CIDNS200518-023_R2_001.fastq.gz
S2_9_4,S2,9_4,data/s2/reads/raw/A11_S9_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/A11_S9_CIDNXS20200524-025_R2_001.fastq.gz
S2_10_1,S2,10_1,data/s2/reads/raw/B04_S38_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/B04_S38_CIDNS200509-022_R2_001.fastq.gz
S2_10_2,S2,10_2,data/s2/reads/raw/B02_S22_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/B02_S22_CIDNS200509-022_R2_001.fastq.gz
S2_10_3,S2,10_3,data/s2/reads/raw/B09_S39_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/B09_S39_CIDNS200518-023_R2_001.fastq.gz
S2_10_4,S2,10_4,data/s2/reads/raw/G04_S43_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/G04_S43_CIDNS200509-022_R2_001.fastq.gz
S2_11_1,S2,11_1,data/s2/reads/raw/G11_S15_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/G11_S15_CIDNXS20200524-025_R2_001.fastq.gz
S2_11_2,S2,11_2,data/s2/reads/raw/G05_S51_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/G05_S51_CIDNS200509-022_R2_001.fastq.gz
S2_11_3,S2,11_3,data/s2/reads/raw/F10_S6_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/F10_S6_CIDNXS20200524-025_R2_001.fastq.gz
S2_11_4,S2,11_4,data/s2/reads/raw/B01_S14_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/B01_S14_CIDNS200509-022_R2_001.fastq.gz
S2_12_1,S2,12_1,data/s2/reads/raw/B08_S31_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/B08_S31_CIDNS200518-023_R2_001.fastq.gz
S2_12_2,S2,12_2,data/s2/reads/raw/A12_S16_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/A12_S16_CIDNXS20200524-025_R2_001.fastq.gz
S2_13_1,S2,13_1,data/s2/reads/raw/C09_S40_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/C09_S40_CIDNS200518-023_R2_001.fastq.gz
S2_13_2,S2,13_2,data/s2/reads/raw/F04_S42_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/F04_S42_CIDNS200509-022_R2_001.fastq.gz
S2_14_1,S2,14_1,data/s2/reads/raw/C06_S16_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/C06_S16_CIDNS200518-023_R2_001.fastq.gz
