dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,volume_pbs,volume_per_aliquot,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,A1,A2,S1,S2
19_4,19,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,7.96,5.227,11.6,D6,D,6,TRUE,TRUE,TRUE,TRUE
20_1,20,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,17.1,16.997,55,C5,C,5,TRUE,TRUE,TRUE,TRUE
20_2,20,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,9.269,6.257,13.5,D5,D,5,TRUE,TRUE,TRUE,TRUE
20_3,20,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,16.7,NA,25.8,H10,H,10,TRUE,TRUE,FALSE,TRUE
20_4,20,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,5.753,NA,11.8,H6,H,6,TRUE,TRUE,FALSE,TRUE
21_1,21,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,19.3,25.217,37.6,G10,G,10,TRUE,TRUE,TRUE,TRUE
21_2,21,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,11.3,10.761,18.9,E11,E,11,TRUE,TRUE,TRUE,TRUE
21_3,21,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,19.9,24.313,84.2,B6,B,6,TRUE,TRUE,TRUE,TRUE
21_4,21,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,17.1,16.684,44.4,D3,D,3,TRUE,TRUE,TRUE,TRUE
22_1,22,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,17.2,18.366,32.6,G9,G,9,TRUE,TRUE,TRUE,TRUE
22_2,22,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,10.3,9.994,18.8,D11,D,11,TRUE,TRUE,TRUE,TRUE
22_3,22,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,19.9,17.732,32,H4,H,4,TRUE,TRUE,TRUE,TRUE
22_4,22,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,9.863,5.794,20,E4,E,4,TRUE,TRUE,TRUE,TRUE
23_1,23,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,8.999,8.865,11.2,F7,F,7,TRUE,TRUE,TRUE,TRUE
23_2,23,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,6.286,7.787,10.9,C11,C,11,TRUE,TRUE,TRUE,TRUE
23_3,23,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,8.227,NA,14,H9,H,9,TRUE,TRUE,FALSE,TRUE
23_4,23,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,7.671,NA,12.2,H7,H,7,TRUE,TRUE,FALSE,TRUE
24_1,24,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,10.4,11.121,13,A9,A,9,TRUE,TRUE,TRUE,TRUE
24_2,24,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,8.645,6.562,12.6,A6,A,6,TRUE,TRUE,TRUE,TRUE
24_3,24,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
24_4,24,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1000,200,2,8.992,NA,NA,NA,NA,NA,NA,NA,NA,NA
25_1,25,1,Inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,450,200,1,0.2868,0.104,0.44,G2,G,2,TRUE,TRUE,TRUE,TRUE
25_2,25,2,Inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,450,200,2,7.261,3.501,12.7,B7,B,7,TRUE,TRUE,TRUE,TRUE
26_1,26,1,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,850,200,1,0.6854,0.523,1.26,H1,H,1,TRUE,TRUE,TRUE,TRUE
26_2,26,2,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,850,200,2,6.896,2.991,6.36,D4,D,4,TRUE,TRUE,TRUE,TRUE
26_3,26,3,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,850,200,1,0.1722,0.754,1.16,D8,D,8,TRUE,TRUE,TRUE,TRUE
26_4,26,4,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,850,200,2,5.954,3.31,0.108,A7,A,7,TRUE,TRUE,TRUE,TRUE
