center_id,dna_sample_id,file,path,read
A1,8_4,8-4_S92_L001_R2_001.fastq.gz,data/a1/reads/raw/8-4_S92_L001_R2_001.fastq.gz,R2
A1,9_1,9-1_S72_L001_R1_001.fastq.gz,data/a1/reads/raw/9-1_S72_L001_R1_001.fastq.gz,R1
A1,9_1,9-1_S72_L001_R2_001.fastq.gz,data/a1/reads/raw/9-1_S72_L001_R2_001.fastq.gz,R2
A1,9_2,9-2_S51_L001_R1_001.fastq.gz,data/a1/reads/raw/9-2_S51_L001_R1_001.fastq.gz,R1
A1,9_2,9-2_S51_L001_R2_001.fastq.gz,data/a1/reads/raw/9-2_S51_L001_R2_001.fastq.gz,R2
A1,9_3,9-3_S56_L001_R1_001.fastq.gz,data/a1/reads/raw/9-3_S56_L001_R1_001.fastq.gz,R1
A1,9_3,9-3_S56_L001_R2_001.fastq.gz,data/a1/reads/raw/9-3_S56_L001_R2_001.fastq.gz,R2
A1,9_4,9-4_S11_L001_R1_001.fastq.gz,data/a1/reads/raw/9-4_S11_L001_R1_001.fastq.gz,R1
A1,9_4,9-4_S11_L001_R2_001.fastq.gz,data/a1/reads/raw/9-4_S11_L001_R2_001.fastq.gz,R2
A1,NA,Water-NEGC_S96_L001_R1_001.fastq.gz,data/a1/reads/raw/Water-NEGC_S96_L001_R1_001.fastq.gz,R1
A1,NA,Water-NEGC_S96_L001_R2_001.fastq.gz,data/a1/reads/raw/Water-NEGC_S96_L001_R2_001.fastq.gz,R2
A1,NA,Zymo-POSC_S95_L001_R1_001.fastq.gz,data/a1/reads/raw/Zymo-POSC_S95_L001_R1_001.fastq.gz,R1
A1,NA,Zymo-POSC_S95_L001_R2_001.fastq.gz,data/a1/reads/raw/Zymo-POSC_S95_L001_R2_001.fastq.gz,R2
S1,10_1,10_1.fastq.gz,data/s1/reads/raw/10_1.fastq.gz,NA
S1,10_2,10_2.fastq.gz,data/s1/reads/raw/10_2.fastq.gz,NA
S1,10_3,10_3.fastq.gz,data/s1/reads/raw/10_3.fastq.gz,NA
S1,10_4,10_4.fastq.gz,data/s1/reads/raw/10_4.fastq.gz,NA
S1,11_1,11_1.fastq.gz,data/s1/reads/raw/11_1.fastq.gz,NA
S1,11_2,11_2.fastq.gz,data/s1/reads/raw/11_2.fastq.gz,NA
S1,11_3,11_3.fastq.gz,data/s1/reads/raw/11_3.fastq.gz,NA
S1,11_4,11_4.fastq.gz,data/s1/reads/raw/11_4.fastq.gz,NA
S1,12_1,12_1.fastq.gz,data/s1/reads/raw/12_1.fastq.gz,NA
