sample_id,center_id,dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,library_strategy
S2_17_2,S2,17_2,17,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,5.839,4.381,9.74,B5,B,5,Shotgun
S2_17_3,S2,17_3,17,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,10.3,9.023,20.2,A4,A,4,Shotgun
S2_17_4,S2,17_4,17,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.148,5.641,12.5,F11,F,11,Shotgun
S2_18_1,S2,18_1,18,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,11.18,12.817,3.82,D12,D,12,Shotgun
S2_18_2,S2,18_2,18,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,8.129,5.281,11.4,H2,H,2,Shotgun
S2_18_3,S2,18_3,18,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,11.19,12.051,33.2,C8,C,8,Shotgun
S2_18_4,S2,18_4,18,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.092,8.587,17.8,B12,B,12,Shotgun
S2_19_1,S2,19_1,19,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,7.406,6.302,25.4,C1,C,1,Shotgun
S2_19_2,S2,19_2,19,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,8.373,5.314,14,E6,E,6,Shotgun
S2_19_3,S2,19_3,19,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,7.682,6.183,9.12,D9,D,9,Shotgun
S2_19_4,S2,19_4,19,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.96,5.227,11.6,D6,D,6,Shotgun
S2_20_1,S2,20_1,20,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,17.1,16.997,55,C5,C,5,Shotgun
S2_20_2,S2,20_2,20,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,9.269,6.257,13.5,D5,D,5,Shotgun
S2_20_3,S2,20_3,20,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,16.7,NA,25.8,H10,H,10,Shotgun
S2_20_4,S2,20_4,20,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,5.753,NA,11.8,H6,H,6,Shotgun
S2_21_1,S2,21_1,21,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,19.3,25.217,37.6,G10,G,10,Shotgun
S2_21_2,S2,21_2,21,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,11.3,10.761,18.9,E11,E,11,Shotgun
S2_21_3,S2,21_3,21,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,19.9,24.313,84.2,B6,B,6,Shotgun
S2_21_4,S2,21_4,21,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,17.1,16.684,44.4,D3,D,3,Shotgun
S2_22_1,S2,22_1,22,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,17.2,18.366,32.6,G9,G,9,Shotgun
S2_22_2,S2,22_2,22,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,10.3,9.994,18.8,D11,D,11,Shotgun
S2_22_3,S2,22_3,22,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,19.9,17.732,32,H4,H,4,Shotgun
S2_22_4,S2,22_4,22,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,9.863,5.794,20,E4,E,4,Shotgun
S2_23_1,S2,23_1,23,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,8.999,8.865,11.2,F7,F,7,Shotgun
S2_23_2,S2,23_2,23,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,6.286,7.787,10.9,C11,C,11,Shotgun
S2_23_3,S2,23_3,23,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,8.227,NA,14,H9,H,9,Shotgun
S2_23_4,S2,23_4,23,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,7.671,NA,12.2,H7,H,7,Shotgun
S2_24_1,S2,24_1,24,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,10.4,11.121,13,A9,A,9,Shotgun
S2_24_2,S2,24_2,24,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,8.645,6.562,12.6,A6,A,6,Shotgun
S2_25_1,S2,25_1,25,1,Inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,1,0.2868,0.104,0.44,G2,G,2,Shotgun
S2_25_2,S2,25_2,25,2,Inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,2,7.261,3.501,12.7,B7,B,7,Shotgun
S2_26_1,S2,26_1,26,1,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,1,0.6854,0.523,1.26,H1,H,1,Shotgun
S2_26_2,S2,26_2,26,2,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,2,6.896,2.991,6.36,D4,D,4,Shotgun
S2_26_3,S2,26_3,26,3,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,1,0.1722,0.754,1.16,D8,D,8,Shotgun
S2_26_4,S2,26_4,26,4,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,2,5.954,3.31,0.108,A7,A,7,Shotgun
A1_water_negc,A1,NA,NA,NA,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H12,H,12,Amplicon
A1_zymo_posc,A1,NA,NA,NA,DNA mock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H11,H,11,Amplicon
